r,g,b,label
81,183,155,green-ish
249,22,71,pink-ish
254,196,33,orange-ish
170,147,237,blue-ish
15,159,225,blue-ish
79,235,166,green-ish
29,250,73,green-ish
55,245,31,green-ish
221,230,235,blue-ish
196,182,52,orange-ish
123,72,51,brown-ish
209,10,2,red-ish
177,104,160,pink-ish
214,207,18,yellow-ish
239,165,24,orange-ish
128,155,49,green-ish
137,11,208,purple-ish
205,74,125,pink-ish
179,126,65,brown-ish
76,83,162,blue-ish
116,231,63,green-ish
141,16,195,purple-ish
149,210,161,green-ish
48,18,21,purple-ish
250,49,59,red-ish
58,131,22,yellow-ish
201,113,76,brown-ish
60,6,206,blue-ish
58,117,187,blue-ish
15,117,9,green-ish
194,98,99,pink-ish
31,32,31,grey-ish
230,94,3,orange-ish
123,202,200,green-ish
125,14,219,purple-ish
252,172,129,orange-ish
178,120,127,pink-ish
42,215,210,blue-ish
181,152,1,yellow-ish
194,4,98,pink-ish
28,181,133,green-ish
191,205,61,green-ish
253,65,111,pink-ish
198,210,235,blue-ish
145,71,53,brown-ish
218,196,179,pink-ish
224,164,235,pink-ish
188,4,180,purple-ish
60,188,242,blue-ish
114,233,235,blue-ish
221,92,216,purple-ish
229,110,99,pink-ish
250,57,152,pink-ish
39,37,236,blue-ish
160,240,146,green-ish
147,160,78,green-ish
75,193,81,red-ish
117,61,39,brown-ish
194,195,59,red-ish
107,241,206,green-ish
121,141,249,blue-ish
72,5,213,green-ish
162,115,33,brown-ish
92,49,173,purple-ish
201,79,245,purple-ish
213,98,252,pink-ish
21,45,202,blue-ish
182,52,230,purple-ish
235,156,129,pink-ish
27,141,152,blue-ish
50,185,166,green-ish
38,243,41,blue-ish
191,22,32,red-ish
204,134,65,brown-ish
235,151,4,blue-ish
104,183,142,green-ish
51,181,248,blue-ish
114,225,73,blue-ish
13,56,67,blue-ish
62,112,124,yellow-ish
60,99,115,grey-ish
208,184,219,yellow-ish
179,250,206,green-ish
105,98,114,grey-ish
101,220,66,green-ish
216,217,154,yellow-ish
15,240,211,blue-ish
127,148,103,green-ish
205,213,50,green-ish
89,106,47,green-ish
214,17,58,red-ish
75,149,60,green-ish
64,179,214,blue-ish
119,179,241,blue-ish
75,36,173,purple-ish
101,149,105,green-ish
234,253,169,green-ish
136,247,84,green-ish
214,26,135,purple-ish
36,166,153,blue-ish
189,74,204,purple-ish
89,160,241,blue-ish
139,243,63,green-ish
230,244,193,green-ish
205,209,94,yellow-ish
186,146,157,pink-ish
231,144,81,orange-ish
79,194,218,blue-ish
173,103,195,purple-ish
101,166,155,blue-ish
118,165,189,blue-ish
91,18,227,blue-ish
65,189,167,green-ish
130,29,42,red-ish
216,227,130,yellow-ish
197,160,101,brown-ish
125,17,84,purple-ish
3,136,242,blue-ish
66,80,101,blue-ish
95,224,47,green-ish
73,3,209,blue-ish
65,208,1,orange-ish
203,39,70,red-ish
106,18,208,purple-ish
116,110,75,brown-ish
151,249,104,green-ish
232,22,95,pink-ish
199,191,162,grey-ish
223,87,18,orange-ish
197,121,254,pink-ish
196,128,248,orange-ish
26,245,233,blue-ish
209,69,199,green-ish
204,238,162,green-ish
225,211,254,purple-ish
165,62,53,brown-ish
85,3,148,blue-ish
108,116,40,green-ish
140,15,252,purple-ish
50,251,166,green-ish
176,66,176,purple-ish
31,92,41,green-ish
239,200,19,yellow-ish
180,166,228,purple-ish
112,13,61,pink-ish
114,111,98,grey-ish
132,84,142,purple-ish
32,199,141,green-ish
209,147,227,pink-ish
157,255,133,green-ish
150,189,160,grey-ish
96,228,72,green-ish
54,56,114,blue-ish
202,60,113,pink-ish
176,48,40,red-ish
236,133,133,pink-ish
141,82,250,blue-ish
101,92,124,purple-ish
205,96,216,purple-ish
110,106,10,green-ish
55,77,56,grey-ish
198,158,127,brown-ish
31,211,75,green-ish
227,238,12,yellow-ish
206,150,2,brown-ish
244,74,39,orange-ish
215,18,40,red-ish
16,97,66,green-ish
250,121,72,orange-ish
39,109,11,green-ish
125,95,98,grey-ish
83,23,128,purple-ish
74,223,76,green-ish
71,117,146,blue-ish
142,233,198,green-ish
33,58,41,green-ish
127,140,213,blue-ish
179,46,85,red-ish
241,117,134,pink-ish
128,236,69,green-ish
223,70,194,pink-ish
122,149,161,grey-ish
228,201,31,yellow-ish
221,241,201,grey-ish
120,87,255,blue-ish
190,155,150,pink-ish
197,209,117,green-ish
16,154,4,green-ish
6,149,185,blue-ish
68,98,77,green-ish
2,107,49,green-ish
244,137,166,pink-ish
211,127,204,pink-ish
60,21,233,blue-ish
254,7,217,pink-ish
143,157,79,green-ish
152,70,142,purple-ish
20,79,196,blue-ish
186,27,10,red-ish
127,63,65,brown-ish
160,219,179,green-ish
74,0,97,purple-ish
70,180,6,green-ish
4,162,213,blue-ish
153,230,50,green-ish
74,254,125,green-ish
116,47,69,purple-ish
148,188,45,grey-ish
0,112,50,green-ish
206,121,210,pink-ish
91,142,14,green-ish
170,174,178,grey-ish
50,197,28,green-ish
13,173,190,orange-ish
178,209,85,green-ish
10,20,28,green-ish
243,14,165,pink-ish
28,19,46,green-ish
206,26,90,red-ish
126,212,213,blue-ish
137,104,199,blue-ish
222,64,133,pink-ish
92,137,166,blue-ish
144,238,127,blue-ish
33,207,109,green-ish
48,157,13,green-ish
112,154,68,green-ish
217,192,122,orange-ish
168,207,253,yellow-ish
87,242,19,green-ish
97,134,218,red-ish
240,38,12,red-ish
13,236,225,blue-ish
12,19,106,purple-ish
118,167,43,green-ish
101,157,205,blue-ish
96,15,206,blue-ish
208,30,67,red-ish
153,223,2,green-ish
90,172,107,green-ish
186,10,127,purple-ish
7,74,71,green-ish
204,225,40,green-ish
70,72,184,blue-ish
205,144,120,brown-ish
67,62,235,blue-ish
102,19,175,purple-ish
208,225,13,yellow-ish
70,26,161,purple-ish
176,64,202,purple-ish
